time,open,high,low,close,tick_volume,spread,real_volume,pip_value,point
2022-11-15 22:00:00+00:00,1.18747,1.18844,1.186,1.18625,11517.0,0,0.0,0.0001,1e-05
2022-11-15 23:00:00+00:00,1.1862300000000001,1.18749,1.18618,1.1865,4405.0,0,0.0,0.0001,1e-05
2022-11-16 00:00:00+00:00,1.18635,1.18643,1.18476,1.18624,2199.0,16,0.0,0.0001,1e-05
2022-11-16 01:00:00+00:00,1.18624,1.18873,1.18493,1.18791,6311.0,1,0.0,0.0001,1e-05
2022-11-16 02:00:00+00:00,1.18794,1.18872,1.18383,1.1847699999999999,9028.0,0,0.0,0.0001,1e-05
2022-11-16 03:00:00+00:00,1.18472,1.18552,1.18327,1.18433,10409.0,0,0.0,0.0001,1e-05
2022-11-16 04:00:00+00:00,1.18435,1.18845,1.1841599999999999,1.18762,9783.0,0,0.0,0.0001,1e-05
2022-11-16 05:00:00+00:00,1.18761,1.18781,1.18468,1.1847699999999999,6745.0,0,0.0,0.0001,1e-05
2022-11-16 06:00:00+00:00,1.18478,1.18519,1.18314,1.18365,8664.0,1,0.0,0.0001,1e-05
2022-11-16 07:00:00+00:00,1.1837,1.18799,1.1832,1.18703,8713.0,0,0.0,0.0001,1e-05
2022-11-16 08:00:00+00:00,1.18704,1.18853,1.18677,1.1879,7962.0,0,0.0,0.0001,1e-05
2022-11-16 09:00:00+00:00,1.18838,1.1902300000000001,1.18367,1.18927,10720.0,0,0.0,0.0001,1e-05
2022-11-16 10:00:00+00:00,1.18922,1.1902,1.18559,1.18841,12152.0,0,0.0,0.0001,1e-05
2022-11-16 11:00:00+00:00,1.18842,1.19022,1.18619,1.18956,9601.0,0,0.0,0.0001,1e-05
2022-11-16 12:00:00+00:00,1.18954,1.1942,1.18931,1.19249,9650.0,0,0.0,0.0001,1e-05
2022-11-16 13:00:00+00:00,1.19246,1.19269,1.1889,1.19022,9772.0,0,0.0,0.0001,1e-05
2022-11-16 14:00:00+00:00,1.19022,1.19162,1.18893,1.1914,9897.0,0,0.0,0.0001,1e-05
2022-11-16 15:00:00+00:00,1.19141,1.19162,1.18594,1.18722,13165.0,0,0.0,0.0001,1e-05
2022-11-16 16:00:00+00:00,1.18729,1.18903,1.18412,1.18504,14658.0,0,0.0,0.0001,1e-05
2022-11-16 17:00:00+00:00,1.18503,1.18946,1.1831800000000001,1.18911,12405.0,0,0.0,0.0001,1e-05
2022-11-16 18:00:00+00:00,1.18915,1.18948,1.18659,1.18876,9201.0,0,0.0,0.0001,1e-05
2022-11-16 19:00:00+00:00,1.18876,1.19056,1.18788,1.18949,8053.0,0,0.0,0.0001,1e-05
2022-11-16 20:00:00+00:00,1.18949,1.18998,1.18692,1.1884000000000001,9262.0,0,0.0,0.0001,1e-05
2022-11-16 21:00:00+00:00,1.1884000000000001,1.19156,1.18823,1.19114,6658.0,0,0.0,0.0001,1e-05
2022-11-16 22:00:00+00:00,1.1911,1.19251,1.19013,1.19192,6635.0,0,0.0,0.0001,1e-05
2022-11-16 23:00:00+00:00,1.19192,1.19192,1.1912,1.19141,3376.0,0,0.0,0.0001,1e-05
2022-11-17 00:00:00+00:00,1.19076,1.192,1.19076,1.19126,2459.0,20,0.0,0.0001,1e-05
2022-11-17 01:00:00+00:00,1.19126,1.19191,1.19103,1.19138,2807.0,0,0.0,0.0001,1e-05
2022-11-17 02:00:00+00:00,1.19138,1.19194,1.19029,1.1905000000000001,4581.0,0,0.0,0.0001,1e-05
2022-11-17 03:00:00+00:00,1.19049,1.1912099999999999,1.18832,1.1887,6824.0,0,0.0,0.0001,1e-05
2022-11-17 04:00:00+00:00,1.1887,1.18913,1.18663,1.18783,8994.0,0,0.0,0.0001,1e-05
2022-11-17 05:00:00+00:00,1.18784,1.1881,1.18663,1.18784,8147.0,0,0.0,0.0001,1e-05
2022-11-17 06:00:00+00:00,1.18788,1.18902,1.18775,1.18861,5132.0,0,0.0,0.0001,1e-05
2022-11-17 07:00:00+00:00,1.18862,1.19044,1.18832,1.18974,8044.0,0,0.0,0.0001,1e-05
2022-11-17 08:00:00+00:00,1.18971,1.1915499999999999,1.18959,1.19106,8365.0,1,0.0,0.0001,1e-05
2022-11-17 09:00:00+00:00,1.19107,1.19376,1.18917,1.19342,9427.0,0,0.0,0.0001,1e-05
2022-11-17 10:00:00+00:00,1.19344,1.19577,1.19195,1.19255,11938.0,0,0.0,0.0001,1e-05
2022-11-17 11:00:00+00:00,1.19256,1.1927699999999999,1.18698,1.18858,9686.0,0,0.0,0.0001,1e-05
2022-11-17 12:00:00+00:00,1.18859,1.1889,1.18457,1.18673,10398.0,0,0.0,0.0001,1e-05
2022-11-17 13:00:00+00:00,1.18671,1.18705,1.18012,1.1851099999999999,11624.0,0,0.0,0.0001,1e-05
2022-11-17 14:00:00+00:00,1.1851099999999999,1.18726,1.18001,1.18064,13058.0,0,0.0,0.0001,1e-05
2022-11-17 15:00:00+00:00,1.18062,1.18182,1.17622,1.17645,13612.0,0,0.0,0.0001,1e-05
2022-11-17 16:00:00+00:00,1.17652,1.18116,1.17635,1.17882,13517.0,0,0.0,0.0001,1e-05
2022-11-17 17:00:00+00:00,1.17882,1.18197,1.17681,1.1778,10982.0,0,0.0,0.0001,1e-05
2022-11-17 18:00:00+00:00,1.1778,1.1813,1.17656,1.18097,8702.0,0,0.0,0.0001,1e-05
2022-11-17 19:00:00+00:00,1.18097,1.18438,1.18097,1.18369,10455.0,0,0.0,0.0001,1e-05
